dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
R & T PIZZA,Manhattan,2236,AMSTERDAM AVENUE,10032,2127959019,Pizza,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,33,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84180111,-73.93551225,112,10,25300,1063081,1021280051,MN36,,
ALEGRIA BAR & RESTAURANT,Brooklyn,266,SUYDAM STREET,11237,7189152576,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70228881,-73.92354403,304,34,42900,3073206,3032200008,BK77,B,2020-01-02T00:00:00.000
ANGELO'S PIZZA,Brooklyn,2117,CORTELYOU ROAD,11226,7182843054,Pizza/Italian,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,22,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.6440186,-73.95820752,314,40,51400,3118557,3051520012,BK42,B,2020-01-02T00:00:00.000
STARBUCKS,Manhattan,1021,3 AVENUE,10065,2124866764,Caf̩/Coffee/Tea,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76250466,-73.96587242,108,4,11000,1043547,1014157501,MN31,A,2020-01-02T00:00:00.000
KUSINA PINOY BISTRO,Queens,6916,ROOSEVELT AVE,11377,3479249977,Filipino,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,28,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.7463427,-73.89608308,402,26,26300,4030354,4013010032,QN63,,
JK & SONS COFFEE SHOP,Brooklyn,801,BROADWAY,11206,7187822366,American,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.6997131,-73.94013664,304,34,38900,3071691,3031320006,BK78,,
RED LOBSTER,Manhattan,261,WEST  125 STREET,10027,2122801930,Seafood,2020-01-02T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Y,56,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80982675,-73.95033627,110,9,22200,1089941,1019310006,MN11,,
NUEVO TULCINGO AZTECA,Bronx,134,EAST  170 STREET,10452,7185880803,Mexican,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,27,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.83910602,-73.91481371,204,16,22102,2008085,2028420051,BX63,Z,2020-01-02T00:00:00.000
NOODLE HOUSE,Queens,90-15,QUEENS BOULEVARD,11373,7182711890,Chinese,2020-01-02T00:00:00.000,No violations were recorded at the time of this inspection.,,,,0,2020-08-17T06:03:16.000,Cycle Inspection / Compliance Inspection,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29,,
CHEF TORIBIO RESTAURANT,Brooklyn,446,WILSON AVENUE,11221,3475339551,Spanish,2020-01-02T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69325897,-73.91267484,304,37,41500,3077267,3033760039,BK78,,
